mixture	sample	host	donor	known_pct	mle_pct	mle_ci_lo	mle_ci_hi	presence_pct	presence_ci_lo	presence_ci_hi	presence_p	presence_markers	contamination_frac	n_used	mean_depth	gof_pval	qc
mix_F1_into_F3	1_99_F1-F3_v2	F1	F3	1.0000	1.3400	1.1600	1.5500	0.7376	0.7023	0.7736	0.0000	330	0.0023	517	1941	0.0299	PASS
mix_F1_into_F3	1_79_F1-F3_v2	F1	F3	1.2500	1.7600	1.5400	2.0100	1.2039	1.1605	1.2480	0.0000	330	0.0028	529	1742	0.2247	PASS
mix_F1_into_F3	1_39_F1-F3_v2	F1	F3	2.5000	2.9600	2.6500	3.3200	2.3858	2.3280	2.4444	0.0000	325	0.0021	532	1530	0.7087	PASS
mix_F1_into_F3	1_19_F1-F3_v2	F1	F3	5.0000	5.3100	4.8500	5.8300	4.7254	4.6463	4.8052	0.0000	328	0.0016	547	1393	0.0095	PASS
mix_F1_into_F3	1_9_F1-F3_v2	F1	F3	10.0000	10.9300	10.3100	11.5800	10.3252	10.2228	10.4282	0.0000	330	0.0019	560	1600	1.0000	PASS
mix_F1_into_F3	F1	F1	F3		100.0000	99.9400	100.0000	99.1482	99.1240	99.1714	0.0000	330	0.0019	486	1793	0.0000	REVIEW
mix_F1_into_F3	F3	F1	F3		0.0000	0.0000	0.0200	0.0000	0.0000	0.0000	1.0000	327	0.0020	494	1685	1.0000	PASS
mix_F2_into_F1	1_99_F2-F1_v1	F2	F1	1.0000	1.3900	1.1500	1.7000	0.8567	0.8337	0.8800	0.0000	359	0.0017	508	4551	0.0000	PASS
mix_F2_into_F1	1_99_F2-F1_v2	F2	F1	1.0000	1.2500	1.0800	1.4400	0.8741	0.8360	0.9128	0.0000	358	0.0018	518	1627	0.1095	PASS
mix_F2_into_F1	1_79_F2-F1_v2	F2	F1	1.2500	1.3000	1.1000	1.5300	0.9702	0.9265	1.0147	0.0000	360	0.0009	517	1223	0.0000	PASS
mix_F2_into_F1	1_79_F2-F1_v1	F2	F1	1.2500	1.3500	1.1300	1.6100	0.9800	0.9576	1.0027	0.0000	360	0.0019	499	5212	1.0000	PASS
mix_F2_into_F1	1_39_F2-F1_v1	F2	F1	2.5000	1.9000	1.6100	2.2500	1.6800	1.6365	1.7241	0.0000	353	0.0020	519	1981	1.0000	PASS
mix_F2_into_F1	1_39_F2-F1_v2	F2	F1	2.5000	2.2900	2.0800	2.5300	1.9759	1.9262	2.0262	0.0000	355	0.0020	521	1677	1.0000	PASS
mix_F2_into_F1	1_19_F2-F1_v2	F2	F1	5.0000	5.3000	4.9000	5.7300	4.8893	4.8226	4.9566	0.0000	355	0.0024	565	1881	0.9623	PASS
mix_F2_into_F1	1_19_F2-F1_v1	F2	F1	5.0000	4.9200	4.3300	5.6100	4.2064	4.1521	4.2611	0.0000	353	0.0020	536	2555	0.0832	PASS
mix_F2_into_F1	1_9_F2-F1_v2	F2	F1	10.0000	9.7800	9.1800	10.4300	9.1521	9.0603	9.2444	0.0000	359	0.0017	570	1673	0.2866	PASS
mix_F2_into_F1	1_9_F2-F1_v1	F2	F1	10.0000	8.7200	7.9300	9.5900	8.3249	8.2563	8.3938	0.0000	359	0.0018	567	2807	1.0000	PASS
mix_F2_into_F1	F2	F2	F1		99.7700	99.7000	99.8300	98.9434	98.9116	98.9741	0.0000	358	0.0019	481	1556	0.0000	REVIEW
mix_F2_into_F1	F1	F2	F1		0.0200	0.0000	0.0600	0.0000	0.0000	0.0000	1.0000	361	0.0014	514	1840	0.9999	PASS
mix_F2_into_M1	1_199_F2-M1_v1	F2	M1	0.5000	0.1700	0.1100	0.2500	0.0507	0.0442	0.0573	0.0000	349	0.0006	510	19765	0.2184	PASS
mix_F2_into_M1	1_99_F2-M1_v1	F2	M1	1.0000	0.8100	0.6500	1.0200	0.6064	0.5916	0.6213	0.0000	347	0.0009	508	8606	0.2248	PASS
mix_F2_into_M1	1_79_F2-M1_v1	F2	M1	1.2500	1.0000	0.8000	1.2500	0.6899	0.6726	0.7075	0.0000	349	0.0009	525	6401	0.9046	PASS
mix_F2_into_M1	1_39_F2-M1_v1	F2	M1	2.5000	2.1300	1.8100	2.5000	1.7809	1.7464	1.8158	0.0000	344	0.0007	546	3113	0.5791	PASS
mix_F2_into_M1	1_19_F2-M1_v1	F2	M1	5.0000	4.4800	4.0000	5.0300	4.1630	4.1125	4.2138	0.0000	342	0.0009	554	2954	0.9991	PASS
mix_F2_into_M1	1_9_F2-M1_v1	F2	M1	10.0000	8.4100	7.7300	9.1700	8.5747	8.5110	8.6387	0.0000	346	0.0008	577	3318	1.0000	PASS
mix_F2_into_M1	F2	F2	M1		99.7900	99.7200	99.8500	98.9385	98.9053	98.9703	0.0000	348	0.0020	479	1533	0.0000	REVIEW
mix_F2_into_M1	M1	F2	M1		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	349	0.0009	498	12893	1.0000	REVIEW
mix_F2_into_M2	1_199_F2-M2_v1	F2	M2	0.5000	0.1500	0.0800	0.2400	0.0405	0.0341	0.0470	0.0000	329	0.0004	501	19913	1.0000	PASS
mix_F2_into_M2	1_99_F2-M2_v1	F2	M2	1.0000	0.5200	0.3800	0.7000	0.3896	0.3737	0.4057	0.0000	328	0.0006	488	5851	1.0000	REVIEW
mix_F2_into_M2	1_79_F2-M2_v1	F2	M2	1.2500	0.9100	0.7000	1.1600	0.7754	0.7571	0.7939	0.0000	329	0.0005	518	6338	1.0000	PASS
mix_F2_into_M2	1_39_F2-M2_v1	F2	M2	2.5000	1.9500	1.6200	2.3500	1.7046	1.6745	1.7350	0.0000	329	0.0005	540	4019	1.0000	PASS
mix_F2_into_M2	1_19_F2-M2_v1	F2	M2	5.0000	3.9300	3.4200	4.5300	3.7677	3.7196	3.8162	0.0000	320	0.0006	547	3055	1.0000	PASS
mix_F2_into_M2	1_9_F2-M2_v1	F2	M2	10.0000	8.5300	7.9000	9.2300	8.4701	8.4056	8.5348	0.0000	325	0.0006	570	3376	1.0000	PASS
mix_F2_into_M2	F2	F2	M2		99.7800	99.7100	99.8400	99.0023	98.9680	99.0352	0.0000	327	0.0016	482	1545	0.0000	REVIEW
mix_F2_into_M2	M2	F2	M2		0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	1.0000	330	0.0007	497	16124	1.0000	REVIEW
